tweet,sentiment
Amazing day!,positive
The event starts at 5 PM.,neutral
I hate how this turned out.,negative
Fantastic experience!,positive
Fantastic experience!,positive
This is the worst thing ever!,negative
The event starts at 5 PM.,neutral
What a wonderful day!,positive
Great job by the team!,positive
What a wonderful day!,positive
It ruined my whole day.,negative
Just finished reading the article.,neutral
Today is Tuesday.,neutral
This is the worst thing ever!,negative
I hate how this turned out.,negative
Today is Tuesday.,neutral
What a wonderful day!,positive
Really disappointed in the results.,negative
I'm so happy about the news!,positive
This update made my day!,positive
The event starts at 5 PM.,neutral
I'm sick of this happening.,negative
I'm so happy about the news!,positive
This update made my day!,positive
I'm sick of this happening.,negative
Really disappointed in the results.,negative
The event starts at 5 PM.,neutral
What a wonderful day!,positive
This is the worst thing ever!,negative
This is the worst thing ever!,negative
I'm so happy about the news!,positive
Today is Tuesday.,neutral
This update made my day!,positive
This update made my day!,positive
It ruined my whole day.,negative
It’s cloudy outside.,neutral
It’s cloudy outside.,neutral
I hate how this turned out.,negative
Today is Tuesday.,neutral
It ruined my whole day.,negative
Just finished reading the article.,neutral
The event starts at 5 PM.,neutral
Absolutely loved this!,positive
Such a terrible decision.,negative
What a wonderful day!,positive
I'm sick of this happening.,negative
Really disappointed in the results.,negative
I'm so happy about the news!,positive
Fantastic experience!,positive
Today is Tuesday.,neutral
Fantastic experience!,positive
Today is Tuesday.,neutral
Such a terrible decision.,negative
Such a terrible decision.,negative
What a wonderful day!,positive
The event starts at 5 PM.,neutral
This is the worst thing ever!,negative
What a wonderful day!,positive
Such a terrible decision.,negative
Working from home again.,neutral
I'm so happy about the news!,positive
It’s cloudy outside.,neutral
This is the worst thing ever!,negative
The event starts at 5 PM.,neutral
It’s cloudy outside.,neutral
It ruined my whole day.,negative
This update made my day!,positive
Working from home again.,neutral
Fantastic experience!,positive
Really disappointed in the results.,negative
I hate how this turned out.,negative
The event starts at 5 PM.,neutral
Really disappointed in the results.,negative
I'm sick of this happening.,negative
Just finished reading the article.,neutral
What a wonderful day!,positive
It’s cloudy outside.,neutral
I'm sick of this happening.,negative
Absolutely loved this!,positive
This update made my day!,positive
Really disappointed in the results.,negative
What a wonderful day!,positive
This is the worst thing ever!,negative
I'm so happy about the news!,positive
I'm sick of this happening.,negative
I hate how this turned out.,negative
It’s cloudy outside.,neutral
Great job by the team!,positive
Such a terrible decision.,negative
I'm sick of this happening.,negative
It ruined my whole day.,negative
This update made my day!,positive
Fantastic experience!,positive
Working from home again.,neutral
Such a terrible decision.,negative
What a wonderful day!,positive
Absolutely loved this!,positive
